Day, Price Index, Inflows, Outflows,30-day price change,30-day sum of inflows,30-day sum of outflows,Inflows - Outflows
0,6.99684,0,0,,,,0
1,7.2441196,9.420099,0,,,,0
2,8.076077,61.519154,0,,,,0
3,8.971673,91.196945,0,,,,0
4,9.967481,122.2447,0,,,,0
5,10.792084,141.43742,0,,,,0
6,10.485238,122.22908,0,,,,0
7,9.474425,76.02396,0,,,,0
8,9.175618,62.37468,0.9672195,,,,0
9,8.870176,52.39985,1.0046067,,,,0
10,8.989104,52.695717,1.0518645,,,,0
11,9.072988,50.72807,0.72550255,,,,0
12,8.926837,34.47975,1.7053446,,,,0
13,9.142317,39.010548,0.99216646,,,,0
14,9.112043,34.884052,1.0280284,,,,0
15,8.9831915,40.249474,0.4546074,,,,0
16,8.735248,40.972435,1.4024842,,,,0
17,8.7442,39.762936,1.2473878,,,,0
18,8.798991,40.39754,1.0316856,,,,0
19,8.6584015,37.515057,0.9567662,,,,0
20,8.593886,35.546623,1.17119,,,,0
21,8.488621,29.936354,0.9789177,,,,0
22,8.459248,29.632647,0.8036949,,,,0
23,8.377476,26.294285,0.6204605,,,,0
24,8.243047,30.127241,1.0281355,,,,0
25,8.259988,33.73614,0.85410964,,,,0
26,8.307228,33.88484,0.78185064,,,,0
27,8.350802,32.13929,0.7767816,,,,0
28,8.296631,34.76278,1.0171736,,,,0
29,8.393306,44.27645,0.90964496,,,,0
30,8.553711,42.767975,0.88993824,1.556871,1522.646092,22.39956119,1500.246531
31,8.435212,37.023457,0.8390068,1.1910924,1559.669549,23.23856799,1536.430981
32,8.349349,34.316483,1.0490334,0.273272,1584.565933,24.28760139,1560.278332
33,8.8991785,33.58598,1.0248361,-0.0724945,1556.632759,25.31243749,1531.320322
34,8.5052395,32.829647,0.86347955,-1.4622415,1498.265461,26.17591704,1472.089544
35,8.818831,35.114174,0.72946954,-1.973253,1411.134935,26.90538658,1384.229548
36,8.68727,36.201397,1.0553287,-1.797968,1305.898912,27.96071528,1277.938197
37,8.855151,39.472195,1.0656528,-0.619274,1223.142027,29.02636808,1194.115659
38,8.887822,37.326103,1.0267049,-0.287796,1184.44417,30.05307298,1154.391097
39,8.814554,41.6911,0.7136788,-0.055622,1163.76059,29.79953228,1133.961058
